ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1961,100,8,ALP,8,4,Finished,+17.882
1962,100,25,AMR,9,2,Finished,+21.564
1963,100,10,RBR,10,1,Finished,+21.826
1964,100,30,AT,11,0,Finished,+25.532
1965,100,5,SAU,12,0,Finished,+25.996
1966,100,23,RBR,13,0,Finished,+28.822
1967,100,21,WIL,14,0,Finished,+29.309
1968,100,43,ALP,15,0,Finished,+31.381
1969,100,24,HAS,16,0,Finished,+32.197
1970,100,50,HAS,17,0,Finished,+37.065
1971,100,12,MER,NULL,0,DNF,NULL
1972,100,1,WIL,NULL,0,DNF,NULL
1973,101,22,MER,1,25,Finished,01:31:52.688
1974,101,10,RBR,2,18,Finished,+0.228
1975,101,12,MER,3,15,Finished,+1.014
1976,101,19,MCL,4,12,Finished,+2.109
1977,101,12,FER,5,10,Finished,+3.442
1978,101,11,FER,6,8,Finished,+10.713
1979,101,25,AMR,7,6,Finished,+10.972
1980,101,13,SAU,8,4,Finished,+15.364
1981,101,24,HAS,9,2,Finished,+1 Lap
1982,101,21,WIL,10,1,Finished,+1 Lap
1983,101,50,HAS,11,0,Finished,+1 Lap
1984,101,23,RBR,12,0,Finished,+1 Lap
1985,101,43,ALP,13,0,Finished,+1 Lap
1986,101,5,SAU,14,0,Finished,+1 Lap
1987,101,8,ALP,15,0,Finished,+1 Lap
1988,101,6,AT,16,0,Finished,+1 Lap
1989,101,26,AMR,17,0,Finished,+1 Lap
1990,101,16,MCL,NULL,0,DNF,NULL
1991,101,30,AT,NULL,0,DNF,NULL
1992,101,1,WIL,NULL,0,DNF,NULL
1993,102,16,MCL,1,25,Finished,01:23:47.693
1994,102,19,MCL,2,18,Finished,+2.695
1995,102,12,FER,3,15,Finished,+19.820
1996,102,11,FER,4,12,Finished,+29.020
1997,102,22,MER,5,10,Finished,+62.396
1998,102,30,AT,6,8,Finished,+67.754
1999,102,25,AMR,7,6,Finished,+1 Lap
2000,102,5,SAU,8,4,Finished,+1 Lap
2001,102,13,SAU,9,2,Finished,+1 Lap
2002,102,24,HAS,10,1,Finished,+1 Lap
2003,102,50,HAS,11,0,Finished,+1 Lap
2004,102,6,AT,12,0,Finished,+1 Lap
2005,102,8,ALP,13,0,Finished,+1 Lap
2006,102,26,AMR,14,0,Finished,+1 Lap
2007,102,43,ALP,15,0,Finished,+1 Lap
2008,102,23,RBR,16,0,Finished,+2 Laps
2009,102,1,WIL,NULL,0,DNF,NULL
2010,102,10,RBR,NULL,0,DNF,NULL
2011,102,12,MER,NULL,0,DNF,NULL
2012,102,21,WIL,NULL,0,DNS,NULL
2013,103,16,MCL,1,25,Finished,01:37:15.735
2014,103,19,MCL,2,18,Finished,+6.812
2015,103,13,SAU,3,15,Finished,+34.742
2016,103,11,FER,4,12,Finished,+39.812
2017,103,10,RBR,5,10,Finished,+56.781
2018,103,8,ALP,6,8,Finished,+59.857
2019,103,26,AMR,7,6,Finished,+60.603
2020,103,1,WIL,8,4,Finished,+64.135
2021,103,25,AMR,9,2,Finished,+65.858
2022,103,22,MER,10,1,Finished,+70.674
2023,103,50,HAS,11,0,Finished,+72.095
2024,103,21,WIL,12,0,Finished,+76.592
2025,103,24,HAS,13,0,Finished,+77.301
2026,103,12,FER,14,0,Finished,+84.477
2027,103,23,RBR,15,0,Finished,+1 Lap
